AWT,ATAT,Response Time,Bounded Slowdown,Max Bounded Slowdown,WT Variance,WT CV,MWT,Throughput,CPU Utilization (%),Makespan,Average Queue Length,Idle Time,JFI,Gini (WT),Starvation Count,Starvation Rate (%),Preemption Frequency,Task Switching Eff (%),Priority Inversion Potential,Fairness Bias (Corr),JFI First Half,JFI Second Half,Throughput to Gini,NTT,WT P90,WT P95,WT P99,RT P90,RT P95,RT P99,Load Imbalance Factor,Convoy Effect,Avg Response Ratio,Max Response Ratio,Scheduling Overhead (%),Weighted TAT,Avg JFI Per Priority,Min JFI Per Priority,Time-Weighted Queue Depth,Predictability CV,Avg Stretch,Max Stretch,Service Time Mean,Service Time Median,Service Time Std,Service Time CV,Arrival Rate,Inter-Arrival Mean,Inter-Arrival CV,Small Jobs Avg WT,Large Jobs Avg WT,Size Fairness Ratio,Algorithm,Dataset
824818.42,832085.0,824818.42,46412.60224656967,1120413.0,101359192228.08403,0.38598748113864295,1271899.0,0.00013761632019464453,100.0,1453316.0,113.5084757891608,0.0,0.8708970052708612,0.2184270086378527,199,99.5,1.0,99.99862385573604,99,0.20653345027995562,0.8708970052708612,1.0,0.0006300334425346155,46412.60224656967,1245874.6,1254831.25,1259788.93,1245874.6,1254831.25,1259788.93,4.215620769568695e-14,0.0,46412.60224656967,1120413.0,0.0013761632019464454,864175.7995824635,0.8608950861848044,0.8022802802796087,113.50847578916078,3.9821210731712333,46412.60224656967,1120413.0,7266.58,332.0,16275.1413129775,2.2397250581397987,0.00013761632019464453,854.8894472361809,2.0174928361646347,783291.0909090909,743494.4696969697,1.0535264522254502,FCFS,Real SDSC SP2
498018.385,505284.965,498018.385,18478.209091140787,727579.0,126806558084.62991,0.7150320055844338,1299293.0,0.00013761632019464453,100.0,1453316.0,68.53545753297975,0.0,0.6628159643391517,0.3804109225305006,199,99.5,1.0,99.99862385573604,33,-0.9465431093914676,0.6628159643391517,1.0,0.0003617570160163073,18478.209091140787,1085409.5,1196521.9499999993,1279854.9699999997,1085409.5,1196521.9499999993,1279854.9699999997,4.215620769568695e-14,0.0,18478.209091140787,727579.0,0.0013761632019464454,327750.8928322895,0.9703826164292281,0.9108612852667842,68.53545753297975,4.162551735615266,18478.209091140787,727579.0,7266.58,332.0,16275.1413129775,2.2397250581397987,0.00013761632019464453,854.8894472361809,2.0174928361646347,440101.57575757575,597766.1666666666,0.7362437024693476,Priority,Real SDSC SP2
300966.755,308233.335,119417.08,6621.942621700294,158636.0,114524154655.95473,1.12442377964364,1323199.0,0.00013761632019464453,100.0,1453316.0,41.41793732402313,0.0,0.44286838568192116,0.5178701693314931,200,100.0,2.795,99.99615377179097,1436,-0.2747433781063745,0.44286838568192116,1.0,0.0002657351752318353,6621.942621700294,827906.5999999999,1182779.6499999994,1303886.54,192645.1,196315.45,203444.69,1468.0639171303696,3086747.3833333333,6621.942621700294,158636.0,0.0038463761494403146,257720.96311760612,0.5482194422208468,0.451342825196036,16.433739117989482,4.008519968143963,6621.942621700294,158636.0,7266.58,332.0,16275.1413129775,2.2397250581397987,0.00013761632019464453,854.8894472361809,2.0174928361646347,114053.42424242424,657157.4848484849,0.17355569535774298,Round Robin,Real SDSC SP2
105110.145,112376.725,105110.145,162.06082810064427,14799.0,64172755123.79294,2.410075830515756,1323199.0,0.00013761632019464453,100.0,1453316.0,14.464871370025515,0.0,0.1475051745935439,0.8525645709555438,45,22.5,1.0,99.99862385573604,67,-0.22877704322958434,0.1475051745935439,1.0,0.00016141454252597648,162.06082810064427,413950.0999999998,677324.0999999983,1133870.4099999988,413950.0999999998,677324.0999999983,1133870.4099999988,4.215620769568695e-14,0.0,162.06082810064427,14799.0,0.0013761632019464454,80089.94711203896,0.2701011584473987,0.0959397857066456,14.464871370025515,6.968593317950852,162.06082810064427,14799.0,7266.58,332.0,16275.1413129775,2.2397250581397987,0.00013761632019464453,854.8894472361809,2.0174928361646347,3056.5151515151515,311421.63636363635,0.009814716752519288,SJF,Real SDSC SP2
504219.62,511486.2,504219.62,18539.799498117525,727579.0,129322668380.79959,0.7132102691901998,1299293.0,0.00013761632019464453,100.0,1453316.0,69.38884867434199,0.0,0.6639552753248933,0.380978525488556,199,99.5,1.0,99.99862385573604,33,-0.9496163865572417,0.6639552753248933,1.0,0.00036121805033018404,18539.799498117525,1072112.0,1196521.9499999993,1279854.9699999997,1072112.0,1196521.9499999993,1279854.9699999997,4.215620769568695e-14,0.0,18539.799498117525,727579.0,0.0013761632019464454,331645.3152400835,0.9723456588083043,0.9097443021834114,69.38884867434199,4.148617564406004,18539.799498117525,727579.0,7266.58,332.0,16275.1413129775,2.2397250581397987,0.00013761632019464453,854.8894472361809,2.0174928361646347,451291.3484848485,599817.2878787878,0.7523813627993434,Priority (Aging),Real SDSC SP2
253435.575,255915.52,253435.575,23642.607541887435,360252.0,12492618514.86872,0.44102089059552224,360348.0,0.0004032347491577434,100.0,495989.0,102.19403051277348,0.0,0.8378529012289679,0.2300699592983345,199,99.5,1.0,99.99596781510013,3,0.09294461499478468,0.8378529012289679,1.0,0.0017526614530098824,23642.607541887435,347520.7,349452.69999999995,355975.18999999994,347520.7,349452.69999999995,355975.18999999994,3.678388539340399e-14,0.0,23642.607541887435,360252.0,0.0040323474915774345,257203.32900432902,0.8282480132776591,0.7881149194792193,102.19403051277347,3.386586083501634,23642.607541887435,360252.0,2479.945,64.5,7933.523508395645,3.199072361844978,0.0004032347491577434,737.7185929648241,2.0533136670293852,215967.37878787878,271309.9696969697,0.7960171129321052,FCFS,Real SDSC BLUE
321433.6,323913.545,321433.6,26073.273879183784,417420.0,13462819668.05025,0.3609746815435492,478804.0,0.0004032347491577434,100.0,495989.0,129.6131970668704,0.0,0.8852289925459729,0.19407065922790898,199,99.5,1.0,99.99596781510013,0,-0.6812975822355433,0.8852289925459729,1.0,0.0020777728625335392,26073.273879183784,476792.5,476842.0,476884.87,476792.5,476842.0,476884.87,3.678388539340399e-14,0.0,26073.273879183784,417420.0,0.0040323474915774345,315828.23484848486,0.9281237166722442,0.8689532985077565,129.61319706687044,3.1576776949651624,26073.273879183784,417420.0,2479.945,64.5,7933.523508395645,3.199072361844978,0.0004032347491577434,737.7185929648241,2.0533136670293852,367092.51515151514,277238.5909090909,1.3241032352234405,Priority,Real SDSC BLUE
51758.695,54238.64,23307.15,2343.861536934868,37208.0,6587198305.951734,1.5680757952478332,442411.0,0.0004032347491577434,100.0,495989.0,20.87090439505715,0.0,0.2901437536284763,0.5694782823446379,189,94.5,2.84,99.9885494444263,5,0.2659419546244182,0.2901437536284763,1.0,0.0007080774836532099,2343.861536934868,124627.2,210916.7999999996,424023.42999999993,35807.4,35998.45,36327.54,641.0539967406872,360301.5333333333,2343.861536934868,37208.0,0.011451866876079915,56699.75865800866,0.5576911515110426,0.3261386281278339,9.3982527838319,3.3996139949799575,2343.861536934868,37208.0,2479.945,64.5,7933.523508395645,3.199072361844978,0.0004032347491577434,737.7185929648241,2.0533136670293852,21949.89393939394,109199.51515151515,0.20100724722942492,Round Robin,Real SDSC BLUE
27700.79,30180.735,27700.79,328.50674873904063,5346.0,3608274944.4682417,2.1684911617856435,432085.0,0.0004032347491577434,100.0,495989.0,11.169921107121327,0.0,0.1760922338984014,0.7376886074368276,87,43.5,1.0,99.99596781510013,3,0.15443468475614783,0.1760922338984014,1.0,0.0005466191901198293,328.50674873904063,42726.7,119043.69999999956,348510.7699999999,42726.7,119043.69999999956,348510.7699999999,3.678388539340399e-14,0.0,328.50674873904063,5346.0,0.0040323474915774345,31352.035714285714,0.33804492122950064,0.18184068393971167,11.169921107121327,1.9200461162635134,328.50674873904063,5346.0,2479.945,64.5,7933.523508395645,3.199072361844978,0.0004032347491577434,737.7185929648241,2.0533136670293852,19457.515151515152,54339.51515151515,0.3580730357505337,SJF,Real SDSC BLUE
300301.01,302780.955,300301.01,25465.05915867353,400978.0,9263686124.44211,0.32050523167550315,403741.0,0.0004032347491577434,100.0,495989.0,121.091802439167,0.0,0.9072681368731442,0.1582957559816399,199,99.5,1.0,99.99596781510013,0,-0.5289931765629317,0.9072681368731442,1.0,0.002547350348448464,25465.05915867353,396066.7,401061.45,402292.44,396066.7,401061.45,402292.44,3.678388539340399e-14,0.0,25465.05915867353,400978.0,0.0040323474915774345,297644.2683982684,0.9316518421333946,0.8682818811491785,121.091802439167,3.231938710738462,25465.05915867353,400978.0,2479.945,64.5,7933.523508395645,3.199072361844978,0.0004032347491577434,737.7185929648241,2.0533136670293852,317350.2727272727,276703.3333333333,1.1468971801108505,Priority (Aging),Real SDSC BLUE
